author,title,url_doi,date,version,retrieved,page_eq,access,local_sha256,status_note
Suntola T.,The dynamic universe: space as a spherically closed zero-energy system,https://www.frontiersin.org/journals/astronomy-and-space-sciences/articles/10.3389/fspas.2026.1827522/full ; DOI 10.3389/fspas.2026.1827522,2026-06-03,published (peer-reviewed journal version; corrections not checked),2026-09-08,—,"BLOCKED: egress proxy denies www.frontiersin.org (curl 000, WebFetch EGRESS_BLOCKED); doi.org also blocked",,"NOT RETRIEVED. Only search-engine snippets seen (K-correction paragraph, DU-vs-Pantheon+ claim). No equation verified from source."
Suntola T.,The dynamic universe (PDF version),https://www.frontiersin.org/journals/astronomy-and-space-sciences/articles/10.3389/fspas.2026.1827522/pdf,2026-06-03,,2026-09-08,—,BLOCKED (same host),,NOT RETRIEVED
Suntola T.,"The Dynamic Universe – Toward a unified picture of physical reality (book, ISBN 978-952-68101-3-3)",https://physicsfoundations.org/data/documents/DU_EN_978-952-68101-3-3.pdf,(edition year not verified),,2026-09-08,—,BLOCKED: physicsfoundations.org egress denied,,NOT RETRIEVED. Snippet: M'' = 0.776 M_Sigma from 4-sphere integration; alpha = 1/(1.1049*4pi^3) (SPIE proceeding snippet).
Hogg D.W. et al.,The K correction,https://arxiv.org/abs/astro-ph/0210394,2002-10-17,v1,2026-09-08,"eq. 1, 8-9 (definition used from memory of the standard form; verified by re-derivation in src/kcorrection_audit.py)",BLOCKED: arxiv.org egress denied; NED mirror not tested for policy reasons,,NOT RETRIEVED; definition re-derived from first principles.
Brout D. et al.,The Pantheon+ Analysis: Cosmological Constraints,"https://arxiv.org/abs/2202.04077 ; ApJ 938, 110 (2022)",2022,published,2026-09-08,SN-only flat LCDM Omega_m = 0.334 +/- 0.018 (via search snippet),"BLOCKED (arxiv, iopscience)",,NOT RETRIEVED; headline number confirmed by snippet and REPRODUCED here (0.332 +/- 0.018).
PantheonPlusSH0ES collaboration,DataRelease: Pantheon+SH0ES.dat,https://raw.githubusercontent.com/PantheonPlusSH0ES/DataRelease/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR/Pantheon%2BSH0ES.dat,"(repo main, commit not resolvable: api.github.com proxied)",main,2026-09-08,"columns zHD,zHEL,m_b_corr,IS_CALIBRATOR",public (GitHub),1cb0fc379ef066afdc2ffd1857681cc478024570d8a3eba284fb645775198cf8,"RETRIEVED, 1701 rows"
PantheonPlusSH0ES collaboration,DataRelease: Pantheon+SH0ES_STAT+SYS.cov,https://raw.githubusercontent.com/PantheonPlusSH0ES/DataRelease/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR/Pantheon%2BSH0ES_STAT%2BSYS.cov,(repo main),main,2026-09-08,1701x1701,public (GitHub),abf806d966485e64afdb359c87bffc0ecc00d05eff0a31ced66f247385df0fdc,"RETRIEVED; max asymmetry 3e-8, symmetrised"
Freire P.C.C. et al.,The relativistic pulsar-white dwarf binary PSR J1738+0333 II. The most stringent test of scalar-tensor gravity,"https://arxiv.org/abs/1205.1450 ; MNRAS 423, 3328 (2012)",2012-05-07,published,2026-09-08,"abstract: Pbdot_int = (-25.9 +/- 3.2)e-15, GR (-27.7 +1.5/-1.9)e-15",BLOCKED; abstract via search snippet,,ABSTRACT VALUES via snippet. Pb = 0.3547907398724 d from memory -> OPEN LOOP.
Antoniadis J. et al.,PSR J1738+0333 I. Mass determination,"https://arxiv.org/abs/1204.3948 ; MNRAS 423, 3316 (2012)",2012,published,2026-09-08,"abstract: Mp = 1.46 +0.06/-0.05, Mwd = 0.181 +0.007/-0.005 Msun",BLOCKED; abstract via snippet,,ABSTRACT VALUES via snippet
"Weisberg J.M., Huang Y.",Relativistic Measurements from Timing the Binary Pulsar PSR B1913+16,"ApJ 829, 55 (2016); https://iopscience.iop.org/article/10.3847/0004-637X/829/1/55",2016-09-21,published,2026-09-08,"masses 1.438/1.390 Msun; ratio 0.9983 +/- 0.0016 (snippet); Pb, e, Pbdot_GR from memory",BLOCKED,,PARTIAL via snippet; remaining numbers OPEN LOOP
