TEST,DU PREDICTION,OBSERVATION,STATISTICAL RESULT,STATUS,CAN A NEW ASSUMPTION RESCUE IT?,COST OF THE NEW ASSUMPTION,NEXT DISCRIMINATING TEST
"Pantheon+ SNe Ia, implied catalog relation (bolometric D_L = z sqrt(1+z) R4 + 5log10(1+z))",m = M + 5log10(R4 z (1+z)^1.5) ; p = 1.5 (relation implied by the published textual transformation),"1590 SNe, zHD>0.01, STAT+SYS covariance, M profiled",chi2 = 4893.6 vs LCDM 1402.9; dchi2 = +3491; dBIC = +3483; residual tilt -4.41 mag/dex; test chi2 (z>=0.4) 2947 vs 222; p=1.5 is 59 sigma from best-fit p,FALSIFIED AS CURRENTLY FORMULATED (conditional on provenance: the textual transformation is externally supplied; rendered Eq. 36 not seen),"Only by dropping the +5log10(1+z) term (then p=0.5, TENSION) or by a new flux-dilution law; the K-correction cannot supply the term (Hogg definition: K independent of dilution distance)",Removes the article's stated justification; requires a derived photon energy/arrival-rate law giving p≈0.62 — no integer photon-counting mechanism does,Obtain rendered Eq. 36 and re-run; light-curve time-dilation vs z fixes the arrival-rate factor independently
"Pantheon+ SNe Ia, bolometric DU form (no K term)",p = 0.5 : D_L = R4 z sqrt(1+z),same,chi2 = 1485.0; dchi2 = +82.1; dBIC = +74.7; test chi2 254 vs 222; 8 sigma from best-fit p,TENSION (strong),Free exponent p = 0.623 ± 0.015 reduces dchi2 to +14.0 at equal parameter count,One new parameter with no mechanism; still dAIC +14 and worse out-of-sample,Same as above
PSR J1738+0333 orbital decay — DU-32-ONLY (Tier-1),"Eq. 32 (eccentricity/periastron mechanism; exact form NOT available): F(0)=0 externally supplied. Under A-ANALYTIC (n>=1) and A-CALIB (Eq. 32 alone explains B1913+16), the bound |Pbdot| <= 2.4e-12 (e_J/e_B)^n X is below the 3.2e-15 error unless prefactor ratio X >= ~1800; illustrative null prediction Pbdot = 0. Exact numerical prediction UNRESOLVED.","Pbdot_int = (-25.9 ± 3.2)e-15 s/s; e = (3.4 ± 1.1)e-7 (Freire+2012, externally supplied); GR -27.7e-15","Observed decay nonzero at 8.1 sigma against H_32 (null within error); obs/GR = 0.94 ± 0.12. Wald-type significance of the observation vs zero, not a chi2 of a unique DU curve.",TENSION (strong; conditional exclusion of the e->0-vanishing class). Becomes FALSIFIED AS CURRENTLY FORMULATED once Eq. 32's analytic e-dependence and prefactor are read from the rendered article; a missing coefficient alone is not a falsification.,Yes: add a quadrupole-type radiative term (DU-PLUS-QUADRUPOLE),See next row,Read Eq. 32 (rendered) and compute the J1738 value; verify B1913/J0737 inputs from the papers
PSR J1738+0333 / J0737 / B1913 joint — DU-PLUS-QUADRUPOLE,Not quantitatively specified in the article; two-component phenomenology Pbdot = kappa Pbdot_GR(e) + beta (GR circular prefactor) e^n fitted here,Three systems' observed/GR ratios (J1738 EXT; B1913 snippet; J0737 memory),"kappa = 1.00045 ± 0.00048 (n=2); eccentricity term <= 0.8 % of B1913+16 decay (2 sigma, n=1); corr(kappa,beta) = -1.00; WITHOUT the J0737 ratio (from memory) the bound weakens to <= 29 % (results/binary_decay_sensitivity.json)",NOT YET PREDICTIVE,The added term IS the rescue; it has no DU derivation yet,"Empirically the added term must carry a GR-like amplitude to 0.05 % with J0737 (memory-sourced ratio; precision level 0.013 % snippet-confirmed) or to 12 % without it and Eq. 32 is confined to <= ~1 % of B1913+16; this is a data constraint on the amplitude, not a theoretical fine-tuning claim",Derive the DU radiative sector; predict J1738-type systems and the double pulsar before fitting
PSR B1913+16 orbital decay,DU-32-ONLY reportedly matches at e=0.617 (figure not verifiable here),obs/GR = 0.9983 ± 0.0016 (Weisberg & Huang 2016),GR reproduced here to 0.9998x; a single-system match is not discriminating between mechanisms,NOT DISCRIMINATING (alone),—,—,"Joint fit across e = 3e-7, 0.088, 0.617 (done: results/binary_decay_tiers.json)"
Capotauro (claimed z≈31-32 galaxy),High-z galaxy consistent with DU angular-size/antipode picture (conditional claim in article),"Liu et al. arXiv:2608.07461 (7 Aug 2026, externally supplied): proper motion 37.6 (+5.5/-5.6) mas/yr; extragalactic excluded >6 sigma; Y-type brown dwarf",>6 sigma exclusion of extragalactic nature,NOT DISCRIMINATING (support removed),n/a — the object is Galactic,n/a,Generic antipodal double-image prediction (conditional on L-B) remains testable; compute detection probability first
Angular-size relation theta(z),Not fixed by the postulates: L-A (D_A ∝ z/(1+z)) vs L-B (D_A ∝ sin(ln(1+z))/(1+z)) differ by 36 % at z=1; L-B antipode z = 22.14,JWST size–mass relations 3<=z<9 (2410.16354; not modelled here),L-B excluded by Pantheon+ (dchi2 +277); L-A untested against sizes,NOT YET PREDICTIVE,A closure postulate for transverse S^3 geometry,One postulate; must simultaneously satisfy SN Hubble diagram and size evolution,Size-evolution model with PSF/SB selection under L-A vs LCDM with evolving populations
LLR / local expansion,Under DU scalings: LLR range (light-s) and P_orb (atomic s) drift at +H0 r = 2.75 cm/yr (Moon); dimensionless ratio invariant,"LLR total recession 3.83 cm/yr (tidal, W&B 2016, from memory); tidal LOD budget",Range series alone: not identifiable (rank deficiency). LOD budget: tidal LOD 2.1 ms/cy if all tidal vs 0.6 if DU share,TENSION (conditional on LOD budget values),Yes: an additional cancellation in the clock/length scaling,Contradicts the same scalings used for the age argument (1/H0),Kepler ratio dlnP:dlna (1.5 tidal vs 1.0 DU) from LLR+ephemeris; verified LOD budget
CMB TT/TE/EE,None available (no DU perturbation/recombination/radiative-transfer equations),Planck 2018 spectra,n/a,NOT YET PREDICTIVE,Requires a full local field theory,Entire perturbation sector,Specify field + perturbation equations before any Boltzmann-code run
BBN light-element abundances,"None available (needs early-epoch c0, h, G scalings as dimensionless ratios)","D/H, Yp",n/a,NOT YET PREDICTIVE,Requires nuclear-rate scaling law under varying c0,New dimensionless rate law,Derive Gamma_nuc/H under DU scalings (cf. Gamma_grav/H = const result)
