WHAT,OWNER,STATUS,NEXT ACTION,DUE DATE,DEPENDENCY
"Retrieve Frontiers article HTML/PDF/XML (DOI 10.3389/fspas.2026.1827522) and record SHA-256; verify eqs 8-17, 19, 31/36, 32-33 from rendered PDF",unknown (requires network policy change or manual upload),BLOCKED,"Upload PDF into sources/ or allow www.frontiersin.org in egress policy; then run claim closures C07, C08 origin, C11 form, C14",unknown,egress policy
Identify the article's eq. 31/36 within the family D_L ∝ z(1+z)^{q/2} or record its actual form; re-run src/pantheon_fit.py,unknown,PARTIALLY CLOSED,Textual transformation externally supplied -> p=1.5 implied and tested (falsified). Remaining: confirm rendered Eq. 36 has no further term.,unknown,article access
Read e→0 limit of eq. 32; check figure vs formula at e≈0.616; close claim C14,unknown,PARTIALLY CLOSED,Qualitative statement externally supplied (factor 0 at e=0) -> Tier-1 test done. Remaining: exact Eq. 32 for the numerical DU-32-ONLY value (UNRESOLVED) and figure check at e≈0.616.,unknown,article access
Identify origin of coefficient 0.991,unknown,OPEN,Locate in article/book; add kernel to src/du_symbolic_checks.py,unknown,article/book access
Verify whether 1.104905 (fine-structure coefficient) is derived or calibrated,unknown,OPEN,Read DU book / SPIE 5866 proceeding derivation,unknown,physicsfoundations.org access
"Verify pulsar parameters taken from memory: PSR J1738+0333 Pb; B1913+16 Pb, e, Pbdot_GR; J0737-3039 Pb, e, masses, Pbdot, ratio 0.999963(63)",unknown,OPEN,"J1738 e and Pbdot values externally confirmed (Freire+2012). Remaining: J1738 Pb; B1913 Pb, e, Pbdot_GR; J0737 all numbers.",unknown,arxiv/ADS access
Verify LLR/LOD literature values used in local-expansion discriminator (3.83 cm/yr; tidal LOD 2.3-2.4 ms/cy; eclipse-record total ~1.8 ms/cy),unknown,OPEN,"Fetch Williams & Boggs 2016; Stephenson, Morrison & Hohenkerk 2016",unknown,journal access
Verify Sgr A* mass 4.297e6 Msun and GRAVITY flare periods (from memory),unknown,OPEN,Fetch GRAVITY Collaboration 2022 / 2018,unknown,journal access
Verify author lists and publication status of arXiv:2509.01664 and 2608.07461 (preprint vs journal),unknown,PARTIALLY CLOSED,"2608.07461: Liu et al., 7 Aug 2026 (externally supplied). Remaining: 2509.01664 authors; journal status of both.",unknown,arxiv access
"Galaxy size-evolution modelling (2410.16354 data; PSF, SB selection, Kron vs effective radius) under L-A and L-B",unknown,NOT STARTED,Define observation model; obtain catalog; compute DU-evolving population vs LCDM-evolving population,unknown,data access; A4 closure choice
"Antipodal double-image detection probability (L-B): emission-time difference, source evolution, opposite-field depth",unknown,NOT STARTED,Compute P(detect) before treating non-detection as rejection,unknown,L-B survival (currently excluded by Pantheon+)
"DU eqs 8-17: complex vector vs norm, beta_i vs beta, series order, PPN mapping",unknown,NOT STARTED,Requires article text,unknown,article access
"CMB/BAO/BBN/growth/GW coverage: no DU derivations available; required local field, perturbation, recombination, radiative-transfer equations listed",unknown,NOT STARTED,Do not run large simulations before physics is specified,unknown,DU theory completion
Bilfinger: replace synthetic PARAMS with pilot-site data only after tool/purpose approval for confidential data,unknown,NOT STARTED,Approval; data inventory per results/bilfinger_kpi_observation_model.csv,unknown,approval
"Bilfinger: pilot design execution (baseline >=24 mo, normalisation, comparator, acceptance criteria)",unknown,NOT STARTED,Select bounded site; freeze baseline; pre-register rejection criteria (see BILFINGER_MODEL_FI.md §B4),unknown,site selection
Bilfinger: BTS option (Improve / +Intelligence Layer / Replace) — requirement vs capability vs gap comparison,unknown,NOT STARTED,Collect data needs listed in BILFINGER_MODEL_FI.md; do not pre-select Replace,unknown,pilot data
Independent review by a second person of code-vs-formula and report-vs-results (this run: sequential self-review + pytest only),unknown,OPEN,Assign reviewer; run python -m pytest -q tests; diff reported numbers vs results/*.json,unknown,—
"Derive DU radiative sector (DU-PLUS-QUADRUPOLE): field equation for time-dependent sources, energy-loss functional, g(e), no-double-counting rule, PK-parameter mapping",unknown (theory author),NOT STARTED,Without it the extended model has no prediction; the two-component fit bounds the eccentricity term to <=0.8 % of B1913+16,unknown,DU theory
Antipodal double-image detection probability under a closure postulate that survives Pantheon+ (L-B does not),unknown,NOT STARTED,Requires a third light-propagation closure; then compute P(detect),unknown,A4 closure
